branch,date,segments,initial_energy_kwh,final_energy_kwh,normal_yuan,adjustment_yuan,emergency_yuan,total_yuan,q0_kwh,a_final_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,adjust_up_kwh,adjust_down_kwh,adjust_abs_kwh
Q42/M0_P7,2025-05-11,144,1973.74002691112,2012.12723227999,39589.2822811021,0,396.627480591665,39985.9097616938,63906.5614002789,63906.5614002789,18361.0822625749,14837.9281478536,59.5162666666664,4958.84446889105,0,0,0
Q42/M0_P7,2025-05-12,144,2012.12723227999,2460.7059336041,40143.2181211859,0,0,40143.2181211859,64778.9934642649,64778.9934642649,17325.3777326708,13629.8351322717,0,9152.25563053238,0,0,0
Q42/M0_P7,2025-05-13,144,2460.7059336041,2372.07847255959,39450.8661235021,0,0,39450.8661235021,64109.1180062313,64109.1180062313,18623.8308109817,15165.0676718352,0,7521.1421004182,0,0,0
Q42/M0_P7,2025-05-14,144,2372.07847255959,2236.5559921447,39256.843465276,0,0,39256.843465276,64499.9614353674,64499.9614353674,17535.3087900971,14325.5703523521,0,8276.07421428899,0,0,0
Q42/M0_P7,2025-05-15,144,2236.5559921447,3836.50681824814,40736.9865617136,0,0,40736.9865617136,65199.8534829571,65199.8534829571,19865.6314575743,14651.2057371421,0,7220.36947919157,0,0,0
Q42/M0_P7,2025-05-16,144,3836.50681824814,2487.58473004358,12149.8283711115,0,0,12149.8283711115,27256.0710967397,27256.0710967397,12965.0897359094,11715.7525654707,0,23291.2273929676,0,0,0
Q42/M0_P7,2025-05-17,144,2487.58473004358,2850.74287746455,13114.8572486708,0,0,13114.8572486708,29835.7306264002,29835.7306264002,15234.4086742655,12013.0286934762,0,16165.5515622776,0,0,0
Q42/M0_P7,2025-05-18,144,2850.74287746455,3369.36051178728,39215.1569735663,0,0,39215.1569735663,62873.5085502361,62873.5085502361,19499.7139071276,15328.0123938829,0,5025.6389369914,0,0,0
Q42/M0_P7,2025-05-19,144,3369.36051178728,2690.29089854289,38113.7784368692,0,0,38113.7784368692,61750.585280911,61750.585280911,16614.4567762344,14068.8726406698,0,11689.7845953465,0,0,0
Q42/M0_P7,2025-05-20,144,2690.29089854289,2626.00801724094,38264.0772793941,0,0,38264.0772793941,61740.7595643548,61740.7595643548,18756.2755551342,15250.4377928305,0,3707.52698538436,0,0,0
Q42/M0_P7,2025-05-21,144,2626.00801724094,2636.74010751891,38413.4726717099,0,0,38413.4726717099,61629.6177578778,61629.6177578778,16450.2559271912,13315.0484197747,0,7131.79496712799,0,0,0
Q42/M0_P7,2025-05-22,144,2636.74010751891,2895.376887796,37223.8243597512,0,0,37223.8243597512,60444.9951357382,60444.9951357382,17942.0558649659,14300.292148373,0,5986.60060247859,0,0,0
Q42/M0_P7,2025-05-23,144,2895.376887796,2461.40985907885,11681.7110544315,0,0,11681.7110544315,27277.2520385029,27277.2520385029,14626.0476748046,12237.6689424371,0,18467.9244228022,0,0,0
Q42/M0_P7,2025-05-24,144,2461.40985907885,2879.20603421042,12725.9949773007,0,0,12725.9949773007,29012.2879958479,29012.2879958479,14881.5648100023,11678.0509384835,0,22054.2727409958,0,0,0
Q42/M0_P7,2025-05-25,144,2879.20603421042,2834.14076665229,37643.1457411239,0,0,37643.1457411239,60691.3714737784,60691.3714737784,16911.7570984527,13739.081990549,0,8973.6861825414,0,0,0
Q42/M0_P7,2025-05-26,144,2834.14076665229,2394.21961160924,37246.4519864894,0,0,37246.4519864894,60092.1410939022,60092.1410939022,18890.7400662444,15697.4284931967,0,2318.99657085447,0,0,0
Q42/M0_P7,2025-05-27,144,2394.21961160924,2201.4454732073,36741.555881232,0,0,36741.555881232,59391.2460554952,59391.2460554952,16544.9237632064,13574.884972759,0,7030.83996504772,0,0,0
Q42/M0_P7,2025-05-28,144,2201.4454732073,2855.64274191866,37685.0574283487,0,0,37685.0574283487,60768.2801619149,60768.2801619149,19758.3986873954,15415.5253949501,0,4151.58276946958,0,0,0
Q42/M0_P7,2025-05-29,144,2855.64274191866,2049.61649779206,36231.2232590181,0,119.804421733333,36351.0276807515,58328.1328876366,58328.1328876366,18057.1265406441,15351.6961176356,17.8174333333333,1530.39639796154,0,0,0
Q42/M0_P7,2025-05-30,144,2049.61649779206,2329.88865075825,12070.8698371612,0,0,12070.8698371612,28106.2045478609,28106.2045478609,15857.8722473728,12592.6315827024,0,18244.7306165239,0,0,0
Q42/M0_P7,2025-05-31,144,2329.88865075825,2489.52438005496,11798.2895650908,0,0,11798.2895650908,28230.0118125696,28230.0118125696,14356.5984344245,11485.1725755168,0,16969.4044036619,0,0,0
Q42/M0_P7,2025-06-01,144,2489.52438005496,1200,41380.87670592,0,70573.2831860623,111954.159891982,61755.6286400755,61755.6286400755,15344.544992035,13589.6533855978,11317.3675900268,93.2783236651328,0,0,0
Q42/M0_P7,2025-06-02,144,1200,1200,42126.5643118839,0,55514.392151068,97640.9564629518,63738.1637323851,63738.1637323851,19614.2259463222,15887.5230165209,8926.60178306304,297.255135646938,0,0,0
Q42/M0_P7,2025-06-03,144,1200,1317.80754070537,51361.0950855977,0,626.392377754286,51987.487463352,77283.7702853127,77283.7702853127,22555.7079597981,18164.0966608016,117.626471828885,4817.41862481183,0,0,0
Q42/M0_P7,2025-06-04,144,1317.80754070537,1233.05195509539,52405.7254498909,0,672.548208964487,53078.2736588554,77951.2025795431,77951.2025795431,21284.1458098019,17316.4381329885,95.902880522586,4434.13696658567,0,0,0
Q42/M0_P7,2025-06-05,144,1233.05195509539,1210.45037441647,54644.3794090535,0,907.733267937284,55552.1126769907,79747.4612896317,79747.4612896317,20755.6341031836,16832.4050461898,131.451514221014,4806.3657301922,0,0,0
Q42/M0_P7,2025-06-06,144,1210.45037441647,1214.85537816036,18333.4948017549,0,7383.08802366777,25716.5828254227,36429.6274856307,36429.6274856307,16472.0041848087,13338.3588863256,1340.00362017197,3780.99040731952,0,0,0
Q42/M0_P7,2025-06-07,144,1214.85537816036,1697.32654261389,20174.0780831738,0,0,20174.0780831738,40604.4092581626,40604.4092581626,19279.2048590006,15181.9318877823,0,5380.62312027765,0,0,0
Q42/M0_P7,2025-06-08,144,1697.32654261389,3800.91764530087,64372.2012911635,0,0,64372.2012911635,93515.032876477,93515.032876477,15243.6315980115,10454.109601971,0,23540.5876137699,0,0,0
Q42/M0_P7,2025-06-09,144,3800.91764530087,2115.21698411776,56287.7700162247,0,193.084699461387,56480.8547156861,80646.9447249038,80646.9447249038,16977.4161744632,15268.83769638,27.3162197724251,8032.96973325973,0,0,0
Q42/M0_P7,2025-06-10,144,2115.21698411776,2530.79797415989,57330.4277290322,0,0,57330.4277290322,83695.0291314634,83695.0291314634,21516.4146528377,17054.2729777606,0,7614.443223053,0,0,0
Q42/M0_P7,2025-06-11,144,2530.79797415989,1889.5333045008,56897.31230207,0,2718.66089274506,59615.9731948151,82968.654123576,82968.654123576,24266.3441010605,20232.8769245522,377.068084985445,3227.80871538648,0,0,0
Q42/M0_P7,2025-06-12,144,1889.5333045008,2900.17877356771,60055.6281723573,0,0,60055.6281723573,86248.6851977845,86248.6851977845,19505.7884201001,14890.1076981209,0,9180.61304247196,0,0,0
Q42/M0_P7,2025-06-13,144,2900.17877356771,2135.0888507318,18097.8611782224,0,0,18097.8611782224,35403.5398098624,35403.5398098624,14041.9673728725,12062.574502579,0,5078.83323956896,0,0,0
Q42/M0_P7,2025-06-14,144,2135.0888507318,2163.48722511912,19579.6552993012,0,0,19579.6552993012,37900.6625035439,37900.6625035439,15575.2164346298,12590.3667751015,0,8722.47009401563,0,0,0
Q42/M0_P7,2025-06-15,144,2163.48722511912,4696.03929943087,63567.7038452164,0,0,63567.7038452164,91310.4210049647,91310.4210049647,20862.2100875441,14619.0933040302,0,14440.3298881174,0,0,0
Q42/M0_P7,2025-06-16,144,4696.03929943087,3831.74142233722,60221.6568371932,0,0,60221.6568371932,85150.756814123,85150.756814123,19870.2371702082,16872.7601972529,0,9459.2270245011,0,0,0
Q42/M0_P7,2025-06-17,144,3831.74142233722,3218.2940957949,60107.5301680311,0,0,60107.5301680311,85508.6725219701,85508.6725219701,20139.3669754463,16864.9898439996,0,7597.28417385677,0,0,0
Q42/M0_P7,2025-06-18,144,3218.2940957949,3762.47961085095,60387.9969241097,0,0,60387.9969241097,86449.6121812855,86449.6121812855,19063.0004774088,14951.2634231507,0,11409.4842270274,0,0,0
Q42/M0_P7,2025-06-19,144,3762.47961085095,3359.44577997718,57938.8507977107,0,152.459328734608,58091.3101264453,84452.4912682594,84452.4912682594,19166.8757435355,15887.8998000501,22.3716374651527,12936.3827622392,0,0,0
Q42/M0_P7,2025-06-20,144,3359.44577997718,2970.50363233283,18596.7288439887,0,0,18596.7288439887,35315.9980579878,35315.9980579878,13025.7180705307,10900.8795700098,0,10790.5787074668,0,0,0
Q42/M0_P7,2025-06-21,144,2970.50363233283,3663.65154943907,18945.2374133769,0,0,18945.2374133769,37352.5194430378,37352.5194430378,17604.9834528912,13636.2034714463,0,14048.9990615928,0,0,0
Q42/M0_P7,2025-06-22,144,3663.65154943907,3213.14489141336,54523.3674660565,0,0,54523.3674660565,78991.6644138265,78991.6644138265,17621.0743578646,14678.5262220934,0,8591.7751780554,0,0,0
Q42/M0_P7,2025-06-23,144,3213.14489141336,2621.97701911767,53126.3096211892,0,0,53126.3096211892,78532.3551974041,78532.3551974041,19754.2607242463,16533.0022717056,0,8249.81074486343,0,0,0
Q42/M0_P7,2025-06-24,144,2621.97701911767,2060.32802924412,53403.9190894771,0,25954.4507619763,79358.3698514534,76838.1297465818,76838.1297465818,20498.5385355784,17109.3003047047,3910.67464438459,1090.77391009271,0,0,0
Q42/M0_P7,2025-06-25,144,2060.32802924412,2765.72570306803,55153.6388569892,0,0,55153.6388569892,81037.602123496,81037.602123496,20695.8961041615,16128.8179379293,0,6033.10259059711,0,0,0
Q42/M0_P7,2025-06-26,144,2765.72570306803,2517.76292783063,53889.874891948,0,131.321122946551,54021.1960148945,79995.9366543567,79995.9366543567,19798.8359746719,16260.2236371979,18.640783070575,8928.58126661991,0,0,0
Q42/M0_P7,2025-06-27,144,2517.76292783063,2397.4371928594,16641.8639426976,0,0,16641.8639426976,33405.5687292019,33405.5687292019,15216.153984336,12433.3778887863,0,10851.1467669855,0,0,0
Q42/M0_P7,2025-06-28,144,2397.4371928594,2502.34491988459,17251.6797362047,0,0,17251.6797362047,34779.0772476881,34779.0772476881,15093.7274612788,12131.5022893131,0,10039.9259590558,0,0,0
Q42/M0_P7,2025-06-29,144,2502.34491988459,2737.08712635214,54317.3972260013,0,0,54317.3972260013,79567.8721220513,79567.8721220513,21981.2802076783,17593.5689823986,0,5912.39236343826,0,0,0
Q42/M0_P7,2025-06-30,144,2737.08712635214,1870.09068456545,52789.6150021318,0,119.505268334822,52909.1202704666,78266.9084089509,78266.9084089509,19527.8163305523,16597.8280253554,17.2061433064318,5476.44226372709,0,0,0
Q42/M0_P7,2025-07-01,144,1870.09068456545,1200,57254.5341017781,0,32015.8485433529,89270.382645131,78051.4804577931,78051.4804577931,19403.7940989254,16320.1548362385,4621.58727438392,722.884436156741,0,0,0
Q42/M0_P7,2025-07-02,144,1200,1200,62595.5960798265,0,7231.44484878181,69827.0409286083,84744.9276722416,84744.9276722416,16377.3103062343,13265.6213480497,1351.7415430955,10080.2138904859,0,0,0
Q42/M0_P7,2025-07-03,144,1200,1444.32316969545,66395.6487794803,0,1901.36333091718,68297.0121103975,88114.5083792313,88114.5083792313,21986.785983097,17589.4057935827,274.539853844393,4231.24911022806,0,0,0
Q42/M0_P7,2025-07-04,144,1444.32316969545,1200,25067.5158518795,0,1225.90484472683,26293.4206966063,43486.2209776628,43486.2209776628,14123.590388001,11659.9990670067,312.043443325835,12453.8056333277,0,0,0
Q42/M0_P7,2025-07-05,144,1200,1469.33057246306,24999.9479831177,0,22.6492705263184,25022.597253644,44115.157209199,44115.157209199,15035.7730641423,11936.5786667385,8.9913737698763,12234.8742188984,0,0,0
Q42/M0_P7,2025-07-06,144,1469.33057246306,1486.79816818785,62908.755016373,0,23744.3282937645,86653.0833101375,83645.5472491515,83645.5472491515,19637.1654283076,15890.3831607768,2769.74312366693,2874.52655528771,0,0,0
Q42/M0_P7,2025-07-07,144,1486.79816818785,1805.34754594061,64528.2754276674,0,431.439797941996,64959.7152256094,87347.4902570421,87347.4902570421,19019.3736063886,15118.9981811973,51.5930165199151,10089.2250817041,0,0,0
Q42/M0_P7,2025-07-08,144,1805.34754594061,4735.08328686046,72507.5593521456,0,0,72507.5593521456,96984.4077027439,96984.4077027439,21960.615423882,15151.3363265165,0,14603.7415887118,0,0,0
Q42/M0_P7,2025-07-09,144,4735.08328686046,2867.00808468594,62681.2737122514,0,122.306661513896,62803.5803737653,83642.9774687906,83642.9774687906,17352.6211064719,15736.8907781993,14.0453217172595,7982.56744556866,0,0,0
Q42/M0_P7,2025-07-10,144,2867.00808468594,2529.53444292185,63987.5946128346,0,333.72566343453,64321.3202762692,84584.6361543583,84584.6361543583,16748.4857072673,13869.9997004742,38.8802487942557,8891.40701302612,0,0,0
Q42/M0_P7,2025-07-11,144,2529.53444292185,1775.32948469901,24931.8152481655,0,73.3680864827463,25005.1833346483,42281.5658236515,42281.5658236515,15532.9195385522,13260.4492886278,23.3900173086091,7513.70844103577,0,0,0
Q42/M0_P7,2025-07-12,144,1775.32948469901,2078.60690221908,25702.1645903999,0,0,25702.1645903999,44886.3689687872,44886.3689687872,16057.7061197222,12733.7922812069,0,10478.2117969386,0,0,0
Q42/M0_P7,2025-07-13,144,2078.60690221908,2236.15985831606,61297.5797699374,0,160.353398333986,61457.9331682714,85399.9640970614,85399.9640970614,18324.8693473517,14701.3465108676,19.8764671005871,12528.5973276779,0,0,0
Q42/M0_P7,2025-07-14,144,2236.15985831606,1936.40777792284,60014.6796361454,0,545.911768170639,60560.591404316,82252.9577091231,82252.9577091231,18624.4834854116,15355.6084955373,63.9065790657379,7240.31008164783,0,0,0
Q42/M0_P7,2025-07-15,144,1936.40777792284,5629.16018111104,72640.4048302146,0,0,72640.4048302146,97447.0910984835,97447.0910984835,19579.2600857968,12535.723506626,0,17654.5039359794,0,0,0
Q42/M0_P7,2025-07-16,144,5629.16018111104,3753.81049222084,65065.0515510503,0,0,65065.0515510503,86083.0220219797,86083.0220219797,15455.1437905366,14206.4811903358,0,12699.7960384456,0,0,0
Q42/M0_P7,2025-07-17,144,3753.81049222084,3721.18363925003,65592.4605620258,0,0,65592.4605620258,87775.442024681,87775.442024681,18840.050098507,15289.8047474644,0,11504.7806069717,0,0,0
Q42/M0_P7,2025-07-18,144,3721.18363925003,3239.90394048526,25964.8263451766,0,0,25964.8263451766,43965.716530303,43965.716530303,12446.7942520388,10515.0550730397,0,10759.729251304,0,0,0
Q42/M0_P7,2025-07-19,144,3239.90394048526,3055.61642609578,26737.0010225221,0,0,26737.0010225221,45800.6074909249,45800.6074909249,14315.6298731936,11761.5189602374,0,16063.6775279687,0,0,0
Q42/M0_P7,2025-07-20,144,3055.61642609578,3986.73606537862,62837.1637870912,0,0,62837.1637870912,85798.389830175,85798.389830175,19771.368882678,15176.8011196146,0,9113.84385044493,0,0,0
Q42/M0_P7,2025-07-21,144,3986.73606537862,3490.43793867692,64980.1234866283,0,0,64980.1234866283,86795.8209711863,86795.8209711863,20752.980668009,17256.5826551188,0,9309.67360829614,0,0,0
Q42/M0_P7,2025-07-22,144,3490.43793867692,2698.66259092569,63223.6556536729,0,2.79315047693539,63226.4488041499,85408.8555161732,85408.8555161732,20293.6747268334,17150.4743417112,0.328896140940287,8470.8394105252,0,0,0
Q42/M0_P7,2025-07-23,144,2698.66259092569,2678.13582562314,62935.5091694027,0,0,62935.5091694027,85368.3139679033,85368.3139679033,19496.2038738109,15810.3992265591,0,7465.96220398489,0,0,0
Q42/M0_P7,2025-07-24,144,2678.13582562314,3024.61819611877,63003.5314766004,0,0,63003.5314766004,85141.6642694308,85141.6642694308,20038.4293699776,15919.2936562358,0,7406.05655568902,0,0,0
Q42/M0_P7,2025-07-25,144,3024.61819611877,1973.281187374,24144.0190122293,0,0,24144.0190122293,41494.1240897114,41494.1240897114,13933.3262980435,12232.1976092855,0,13287.6758342867,0,0,0
Q42/M0_P7,2025-07-26,144,1973.281187374,2590.11462785463,25661.5367543217,0,0,25661.5367543217,44599.9920501425,44599.9920501425,16823.6151116555,13071.9781440084,0,12379.2635158287,0,0,0
Q42/M0_P7,2025-07-27,144,2590.11462785463,3268.93548717062,61786.747021006,0,0,61786.747021006,83917.7909227615,83917.7909227615,21773.9402304995,17025.9528133202,0,5484.61370558223,0,0,0
Q42/M0_P7,2025-07-28,144,3268.93548717062,2521.36491062629,61881.780858778,0,0,61881.780858778,83346.8224550945,83346.8224550945,20369.8626993566,17172.4023053688,0,2194.48482777333,0,0,0
Q42/M0_P7,2025-07-29,144,2521.36491062629,2333.98283156631,62465.1445264353,0,47.4669260493042,62512.6114524846,84667.7041197272,84667.7041197272,21544.3434450462,17619.5620616414,5.53873116094564,4679.21551748338,0,0,0
Q42/M0_P7,2025-07-30,144,2333.98283156631,2001.59248545859,61060.9317568407,0,0,61060.9317568407,82300.1471840734,82300.1471840734,20729.8337960286,17090.3166862801,0,4557.37602432487,0,0,0
Q42/M0_P7,2025-07-31,144,2001.59248545859,1753.45795710479,59894.6954715057,0,173.473968181316,60068.169439687,82333.5067346769,82333.5067346769,21002.4730394715,17235.3242374903,20.4253685624082,3891.78703459146,0,0,0
Q42/M0_P7,2025-08-01,144,1753.45795710479,1294.67079788095,22315.9605709152,0,2301.17075526095,24617.1313261762,39327.0280361774,39327.0280361774,14824.5888351571,12420.8253997787,774.288425282562,16446.1933594149,0,0,0
Q42/M0_P7,2025-08-02,144,1294.67079788095,2374.72220061235,24559.9906249178,0,0,24559.9906249178,44038.0925089888,44038.0925089888,18895.9125171244,14333.6428764125,0,18548.7979349435,0,0,0
Q42/M0_P7,2025-08-03,144,2374.72220061235,1442.40487179741,55115.9248268795,0,1966.89367443165,57082.8185013112,77361.6503363947,77361.6503363947,17439.8542396489,14965.367530049,331.3409072845,12379.024550746,0,0,0
Q42/M0_P7,2025-08-04,144,1442.40487179741,1775.88896424705,54677.6318084741,0,0,54677.6318084741,75449.3823754893,75449.3823754893,19489.3655236129,15486.2503909218,0,6030.6121594648,0,0,0
Q42/M0_P7,2025-08-05,144,1775.88896424705,1692.12459623742,53880.8615301637,0,0,53880.8615301637,74186.9574401069,74186.9574401069,18865.9720960214,15356.825328986,0,5525.50093973812,0,0,0
Q42/M0_P7,2025-08-06,144,1692.12459623742,1208.04338546021,54282.2063512097,0,8589.48487885844,62871.6912300682,73960.4403188031,73960.4403188031,18160.4015102157,15145.5983129742,1019.63576534705,3850.87362024194,0,0,0
Q42/M0_P7,2025-08-07,144,1208.04338546021,1658.33027358663,55192.8843569275,0,177.90765296885,55370.7920098964,76579.1754689287,76579.1754689287,19436.9040981387,15338.6341201786,20.4233329088337,9113.34357387738,0,0,0
Q42/M0_P7,2025-08-08,144,1658.33027358663,1730.22004915593,22198.6438947495,0,0,22198.6438947495,40040.7044851977,40040.7044851977,15907.1221645197,12820.0681552486,0,21178.4792259266,0,0,0
Q42/M0_P7,2025-08-09,144,1730.22004915593,1392.76529350324,21925.5972960181,0,271.94064202779,22197.5379380459,39251.7409700342,39251.7409700342,15966.9163476096,13236.9115216512,111.988798260627,17711.7959423364,0,0,0
Q42/M0_P7,2025-08-10,144,1392.76529350324,2307.36590134977,54567.2253851555,0,81.0846984675089,54648.310083623,73953.5874623302,73953.5874623302,21169.0982364245,16323.829024442,10.1609897828959,3813.86019013058,0,0,0
Q42/M0_P7,2025-08-11,144,2307.36590134977,1875.88166941194,53407.3256145166,0,418.698234876743,53826.0238493934,74476.8852434996,74476.8852434996,18882.5386255215,15683.1920954164,49.9944433341993,6766.27982339544,0,0,0
Q42/M0_P7,2025-08-12,144,1875.88166941194,1645.37159343313,53274.9623003059,0,7036.58803134731,60311.5503316532,72709.2362675776,72709.2362675776,18721.9929637992,15372.2733690582,842.660937091823,2441.63395992851,0,0,0
Q42/M0_P7,2025-08-13,144,1645.37159343313,2181.51375964779,54539.4802895373,0,437.01853829875,54976.4988278361,75234.7331399414,75234.7331399414,19670.1392497323,15450.28484269,52.3383242132415,4946.23760711229,0,0,0
Q42/M0_P7,2025-08-14,144,2181.51375964779,1777.67869030065,53410.8157842661,0,597.245632518587,54008.0614167847,73808.757205373,73808.757205373,20794.4523860003,17206.9579950727,70.6976067103948,4365.66943782238,0,0,0
Q42/M0_P7,2025-08-15,144,1777.67869030065,1685.83891854382,22324.8466471703,0,151.111820379744,22475.95846755,39807.1199063538,39807.1199063538,15584.4114970646,12706.0291072035,57.3312068911663,19826.3418400506,0,0,0
Q42/M0_P7,2025-08-16,144,1685.83891854382,1540.51072193439,22362.7666803306,0,86.5182634062013,22449.2849437368,39702.4591075643,39702.4591075643,16864.7926598016,13791.2774313878,37.6575684031344,19737.3210808869,0,0,0
Q42/M0_P7,2025-08-17,144,1540.51072193439,2288.7822716634,52312.2260118085,0,314.017358957305,52626.2433707658,71434.1527076685,71434.1527076685,19621.7039713304,15220.1358220215,37.4719906710641,3904.66293236401,0,0,0
Q42/M0_P7,2025-08-18,144,2288.7822716634,2156.5270859728,52411.3864996025,0,1580.99482690811,53992.3813265106,71610.7638109308,71610.7638109308,21314.7594917722,17383.984855457,186.748615449098,3472.62217339804,0,0,0
Q42/M0_P7,2025-08-19,144,2156.5270859728,1917.5627123075,52603.1868822328,0,879.637641366601,53482.8245235994,71541.2191059006,71541.2191059006,18203.4821149431,14959.8884494026,102.790508220959,4082.7558985811,0,0,0
Q42/M0_P7,2025-08-20,144,1917.5627123075,1718.71422864068,53543.0113679841,0,15966.4715488865,69509.4829168705,72280.9411058553,72280.9411058553,19669.6099383264,16111.3476853445,2292.68268874418,364.670474950952,0,0,0
Q42/M0_P7,2025-08-21,144,1718.71422864068,2062.48846809832,54732.9313515269,0,0,54732.9313515269,75842.2044494515,75842.2044494515,18783.0106439161,14904.8418060602,0,6119.61712826228,0,0,0
Q42/M0_P7,2025-08-22,144,2062.48846809832,1370.03408112268,22086.0614217879,0,1520.80643859417,23606.8678603821,38988.0856736431,38988.0856736431,14047.2399862898,12001.4733371728,328.19954445465,16039.9491689807,0,0,0
Q42/M0_P7,2025-08-23,144,1370.03408112268,1696.85296210561,22455.5730587242,0,5.62001886101675,22461.1930775852,40887.323948799,40887.323948799,16846.6374084757,13351.6393079807,2.43027842638562,14864.7499767303,0,0,0
Q42/M0_P7,2025-08-24,144,1696.85296210561,2036.13193997655,54307.7300472975,0,0,54307.7300472975,75031.664613378,75031.664613378,20930.7067136152,16648.5213579444,0,7015.88977437391,0,0,0
Q42/M0_P7,2025-08-25,144,2036.13193997655,1662.8014761474,53888.6229084478,0,9113.96773868805,63002.5906471359,73710.706987705,73710.706987705,20059.686147437,16584.3431968702,1070.37928520675,532.656305678227,0,0,0
Q42/M0_P7,2025-08-26,144,1662.8014761474,2343.34106044519,54799.613023592,0,0,54799.613023592,76119.7618121216,76119.7618121216,20245.0351113399,15785.9928143173,0,6131.9011317657,0,0,0
Q42/M0_P7,2025-08-27,144,2343.34106044519,1925.31520432819,54230.8278320296,0,67.5485664460443,54298.3763984756,74540.7365962669,74540.7365962669,20293.8553903237,16814.2461366675,8.29528507925488,3155.27376102331,0,0,0
Q42/M0_P7,2025-08-28,144,1925.31520432819,1743.8284681473,55154.4177181629,0,675.542947372738,55829.9606655357,75519.0881441824,75519.0881441824,20587.0659993986,16838.8615220756,80.1645587966444,1083.25324232274,0,0,0
Q42/M0_P7,2025-08-29,144,1743.8284681473,1889.55608627072,23017.3551544292,0,0,23017.3551544292,41075.9842710575,41075.9842710575,15178.6405388472,12163.5439801552,0,15505.6673623655,0,0,0
Q42/M0_P7,2025-08-30,144,1889.55608627072,1716.39926760084,23509.8895373098,0,33.0023057795158,23542.8918430893,41466.5992526857,41466.5992526857,14619.6565891911,11997.7629740477,16.2333464220535,20348.219150631,0,0,0
Q42/M0_P7,2025-08-31,144,1716.39926760084,2538.02599364068,54414.8526262876,0,226.030175872474,54640.8828021601,75830.4140622542,75830.4140622542,20775.2353584176,16088.4765868824,27.028364448195,4524.0605718339,0,0,0
Q42/M0_P7,2025-09-01,144,2538.02599364068,5797.24953463107,48869.1115715175,0,0,48869.1115715175,75247.1695960439,75247.1695960439,19439.214038481,12812.4621842783,0,15046.2832085078,0,0,0
Q42/M0_P7,2025-09-02,144,5797.24953463107,3489.36375266812,40141.4290213002,0,777.419376154201,40918.8483974544,61040.8503657725,61040.8503657725,18231.3103039687,16844.4585499813,154.463233811946,5750.70599559707,0,0,0
Q42/M0_P7,2025-09-03,144,3489.36375266812,3069.16556265449,41549.5084785022,0,0,41549.5084785022,62186.8015659452,62186.8015659452,18640.6914659246,15477.1384584112,0,3475.53130843174,0,0,0
Q42/M0_P7,2025-09-04,144,3069.16556265449,3198.80722543133,41628.6598545955,0,0,41628.6598545955,63290.3347008858,63290.3347008858,19078.2611197294,15336.7140104816,0,5623.22204163803,0,0,0
Q42/M0_P7,2025-09-05,144,3198.80722543133,2487.04876187132,14609.1329509625,0,0,14609.1329509625,30703.0929644772,30703.0929644772,14195.2009091923,12138.6953536497,0,21822.325742268,0,0,0
Q42/M0_P7,2025-09-06,144,2487.04876187132,3004.99049766984,15210.0522706645,0,0,15210.0522706645,32475.1376927926,32475.1376927926,17216.4879430692,13479.2076716674,0,21016.7737213908,0,0,0
Q42/M0_P7,2025-09-07,144,3004.99049766984,2805.97321421002,39540.3185097531,0,0,39540.3185097531,60584.1888881152,60584.1888881152,19771.4623165395,16194.0000315108,0,2045.7429864199,0,0,0
Q42/M0_P7,2025-09-08,144,2805.97321421002,1200,32899.3017660668,0,58002.5391217508,90901.8408878176,50423.7231892831,50423.7231892831,13730.8605492006,12567.3729376415,10135.3339556093,0,0,0,0
Q42/M0_P7,2025-09-09,144,1200,1346.57760590169,39508.2261430232,0,1944.18634221582,41452.412485239,61541.4275205916,61541.4275205916,20752.4798803785,16677.5888577951,285.917529630322,4649.61976097177,0,0,0
Q42/M0_P7,2025-09-10,144,1346.57760590169,1444.24580760809,39786.6463702537,0,26483.401591249,66270.0479615027,60685.5238249871,60685.5238249871,18316.5111144175,14748.4726211424,4276.07317652098,77.5598582330069,0,0,0
Q42/M0_P7,2025-09-11,144,1444.24580760809,1741.60642803304,40217.2150018096,0,0,40217.2150018096,63352.6313950853,63352.6313950853,22475.5618510215,17937.5805409449,0,5318.56430167543,0,0,0
Q42/M0_P7,2025-09-12,144,1741.60642803304,1201.27724961172,13734.8744320966,0,4152.64081362024,17887.5152457169,29932.817062131,29932.817062131,15099.9654852214,12717.2683036085,1358.74997514696,17357.2136556651,0,0,0
Q42/M0_P7,2025-09-13,144,1201.27724961172,2075.17811250655,14908.9512008233,0,0,14908.9512008233,32818.778772427,32818.778772427,17377.3268486559,13289.1239708059,0,20723.4744112437,0,0,0
Q42/M0_P7,2025-09-14,144,2075.17811250655,1353.57353346318,40861.9126087967,0,6007.59646339787,46869.5090721946,63246.4657361111,63246.4657361111,21969.9547834753,18445.107495754,991.282421463109,613.576119852938,0,0,0
Q42/M0_P7,2025-09-15,144,1353.57353346318,1200,34619.0628413525,0,37528.6808400574,72147.7436814099,54540.8698200233,54540.8698200233,21223.3360403992,17329.1183728402,6900.53222239603,2480.15374152705,0,0,0
Q42/M0_P7,2025-09-16,144,1200,1200,38350.5408021548,0,20942.1896541889,59292.7304563437,59700.6932001259,59700.6932001259,21100.5763600125,17091.4668516102,3824.18497403043,23.9986824205705,0,0,0
